ID,ApplicantIncome
1,5849
2,25000
3,33000
4,35000
5,47000
6,5417
7,12333
8,3036
9,22000
10,12841
14,11853
15,21000
16,41000
17,71000
18,81000
19,85000
20,88000
21,27660
28,24226
29,1442
30,33750
31,4166
32,38000
33,4692
34,42000
35,12500
38,45000
39,45001
40,45002
41,43600
42,1800
43,2400
44,49000
45,4695
46,3410
47,55649
50,55000
51,59000
52,3086
53,46900
54,4616
55,11500
56,22000
57,15000
58,3366
59,18080
60,3357
61,14000
62,13000
63,35000
64,38000
65,4166
66,75000
67,3200
68,10750
69,7100
70,95000
71,3208
72,44000
73,3500
74,34755
75,5266
76,22000
77,23000
78,34000
79,25000
80,3333
81,43846
82,2395
83,34000
84,66000
85,83000
90,30000
91,40000
92,50000
93,60000
94,35000
95,36000
96,76782
97,78000
98,55000
99,24000
100,65000
